Company,TypeName,Ram,Memory,Weight,Price,HDD,SSD,Hybrid,Flash_Storage,Touchscreen,ppi,Cpu_brand,Gpu_brand,os
0.05555555555555555,0.8,0.0967741935483871,0.04792332268370607,0.21910112359550563,0.1967409282700422,0.0,0.125,0.0,0.0,0.0,0.4973956060116909,0.5,0.5,0.0
0.05555555555555555,0.8,0.0967741935483871,0.04792332268370607,0.20224719101123595,0.12235274261603377,0.0,0.0,0.0,0.25,0.0,0.12845041525366174,0.5,0.5,0.0
0.3888888888888889,0.6,0.0967741935483871,0.09904153354632587,0.42134831460674155,0.06767932489451477,0.0,0.25,0.0,0.0,0.0,0.19329594998692196,0.5,0.5,0.5
0.05555555555555555,0.8,0.22580645161290322,0.2012779552715655,0.4044943820224719,0.3988945147679324,0.0,0.5,0.0,0.0,0.0,0.47342409028332105,0.75,0.0,0.0
0.05555555555555555,0.8,0.0967741935483871,0.09904153354632587,0.21910112359550563,0.2750379746835443,0.0,0.25,0.0,0.0,0.0,0.4973956060116909,0.5,0.5,0.0
0.0,0.6,0.03225806451612903,0.1964856230031949,0.550561797752809,0.03814345991561181,0.25,0.0,0.0,0.0,0.0,0.0377062846406099,0.0,0.0,1.0
0.05555555555555555,0.8,0.22580645161290322,0.09904153354632587,0.5168539325842697,0.3318092827004219,0.0,0.0,0.0,0.5,0.0,0.47342409028332105,0.75,0.5,0.0
0.05555555555555555,0.8,0.0967741935483871,0.09904153354632587,0.20224719101123595,0.1661940928270042,0.0,0.0,0.0,0.5,0.0,0.12845041525366174,0.5,0.5,0.0
0.1111111111111111,0.8,0.22580645161290322,0.2012779552715655,0.1853932584269663,0.22295358649789027,0.0,0.5,0.0,0.0,0.0,0.254930985642134,0.75,1.0,1.0
0.0,0.8,0.0967741935483871,0.09904153354632587,0.3202247191011236,0.10059071729957805,0.0,0.25,0.0,0.0,0.0,0.254930985642134,0.5,0.5,1.0
0.3888888888888889,0.6,0.03225806451612903,0.1964856230031949,0.42134831460674155,0.03711392405063291,0.25,0.0,0.0,0.0,0.0,0.0377062846406099,0.5,0.5,0.5
0.3888888888888889,0.6,0.03225806451612903,0.1964856230031949,0.42134831460674155,0.028859071729957813,0.25,0.0,0.0,0.0,0.0,0.19329594998692196,0.25,0.5,0.5
0.05555555555555555,0.8,0.22580645161290322,0.09904153354632587,0.4044943820224719,0.382442194092827,0.0,0.25,0.0,0.0,0.0,0.47342409028332105,0.75,0.0,0.0
0.2222222222222222,0.6,0.03225806451612903,0.09904153354632587,0.601123595505618,0.05483544303797468,0.0,0.25,0.0,0.0,0.0,0.19329594998692196,0.25,0.0,1.0
0.05555555555555555,0.8,0.0967741935483871,0.09904153354632587,0.016853932584269662,0.1836962025316456,0.0,0.25,0.0,0.0,0.0,0.49529849843454093,1.0,0.5,0.0
0.05555555555555555,0.8,0.0967741935483871,0.09904153354632587,0.21910112359550563,0.22692827004219407,0.0,0.25,0.0,0.0,0.0,0.4973956060116909,0.5,0.5,0.0
0.2222222222222222,0.6,0.0967741935483871,0.09904153354632587,0.601123595505618,0.09637130801687763,0.0,0.25,0.0,0.0,0.0,0.19329594998692196,0.75,0.0,1.0
0.05555555555555555,0.8,0.22580645161290322,0.2012779552715655,0.4044943820224719,0.45299578059071727,0.0,0.5,0.0,0.0,0.0,0.47342409028332105,0.75,0.0,0.0
0.5555555555555556,0.6,0.0967741935483871,0.3961661341853035,0.601123595505618,0.05485232067510549,0.5,0.0,0.0,0.0,0.0,0.19329594998692196,0.25,1.0,0.5
0.2222222222222222,0.8,0.0967741935483871,0.04792332268370607,0.1348314606741573,0.1358649789029536,0.0,0.125,0.0,0.0,1.0,0.2865594907809928,0.5,0.5,1.0
0.1111111111111111,0.4,0.0,0.009584664536741214,0.033707865168539325,0.003021097046413506,0.0,0.0,0.0,0.0625,0.0,0.17002245589467685,1.0,0.5,1.0
0.5555555555555556,0.2,0.0967741935483871,0.4472843450479233,0.7078651685393258,0.13924050632911392,0.5,0.125,0.0,0.0,0.0,0.19329594998692196,0.5,1.0,1.0
0.3888888888888889,0.6,0.03225806451612903,0.1964856230031949,0.42134831460674155,0.014177215189873419,0.25,0.0,0.0,0.0,0.0,0.0377062846406099,0.0,0.0,0.5
0.2222222222222222,0.0,0.0967741935483871,0.09904153354632587,0.3258426966292135,0.10886075949367088,0.0,0.25,0.0,0.0,1.0,0.2865594907809928,0.5,0.5,1.0
0.3888888888888889,0.8,0.0967741935483871,0.09904153354632587,0.4550561797752809,0.08185654008438817,0.0,0.25,0.0,0.0,0.0,0.19329594998692196,0.75,0.5,1.0
0.2222222222222222,0.6,0.03225806451612903,0.3961661341853035,0.6460674157303371,0.041289451476793256,0.5,0.0,0.0,0.0,0.0,0.0377062846406099,0.25,0.5,1.0
0.05555555555555555,0.8,0.0967741935483871,0.04792332268370607,0.20786516853932585,0.15611814345991562,0.0,0.0,0.0,0.25,0.0,0.12845041525366174,0.5,0.5,0.0
0.2222222222222222,0.6,0.0967741935483871,0.09904153354632587,0.601123595505618,0.10565400843881856,0.0,0.25,0.0,0.0,0.0,0.19329594998692196,0.5,0.0,1.0
0.2222222222222222,0.8,0.0967741935483871,0.2012779552715655,0.43258426966292135,0.18970464135021098,0.0,0.5,0.0,0.0,0.0,0.19329594998692196,0.75,0.5,1.0
0.3888888888888889,0.6,0.0967741935483871,0.3961661341853035,0.7078651685393258,0.12185654008438818,0.5,0.0,0.0,0.0,0.0,0.1403005074799114,0.5,1.0,1.0
